,Amenaza,Repeticiones,%_Aparicion_dataset
0,aflatoxins,11493,0.18682944274660251
1,salmonella,3858,0.06271539111775798
2,listeria monocytogenes,1696,0.027570063073021654
3,mercury,1568,0.02548930359581247
4,too high content of sulphite,880,0.014305221405813123
5,cadmium,848,0.013785031536510827
6,ochratoxin a,743,0.01207815852786267
7,unauthorised genetically modified,709,0.011525456791728981
8,salmonella enterica ser. enteritidis,655,0.010647636387281358
9,histamine,642,0.0104363092528773
10,parasitic infestation with anisakis,522,0.008485597242993692
11,poor temperature control,485,0.007884127706612913
12,prohibited substance chloramphenicol,482,0.007835359906365823
13,shigatoxin-producing escherichia coli,455,0.0073964497041420114
14,unauthorised substance ethylene oxide,452,0.007347681903894922
15,infested with moulds,443,0.007201378503153651
16,migration of primary aromatic amines,417,0.006778724234345536
17,salmonella enterica ser. typhimurium,415,0.006746212367514143
18,too high count of escherichia coli,408,0.0066324208336042655
19,prohibited substance nitrofuran (metabolite) nitrofurazone (sem),379,0.00616099876454906
20,poor temperature control - rupture of the cold chain -,375,0.006095975030886274
21,glass fragments,356,0.005787112295988036
22,migration of formaldehyde,353,0.005738344495740945
23,unauthorised colour sudan 1,336,0.005461993627674101
24,prohibited substance nitrofuran (metabolite) furazolidone (aoz),327,0.005315690226932831
25,norovirus,313,0.005088107159113077
26,salmonella enterica ser. infantis,309,0.005023083425450289
27,sulphite undeclared,291,0.004730476623967748
28,foreign body,285,0.0046329410234735675
29,chlorpyrifos,277,0.004502893556147994
30,milk ingredient undeclared,270,0.0043891020222381165
31,absence of health certificate(s),256,0.004161518954418362
32,migration of chromium,255,0.004145263021002666
33,benzo(a)pyrene,250,0.004063983353924183
34,unauthorised irradiation,242,0.003933935886598608
35,lead,240,0.003901424019767215
36,attempt to illegally import,236,0.003836400286104428
37,"benzo(a)pyrene,polycyclic aromatic hydrocarbons",235,0.0038201443526887312
38,infested with insects,232,0.0037713765524416414
39,too high count of enterobacteriaceae,229,0.003722608752194551
40,dioxins,219,0.0035600494180375837
41,unauthorised colour sudan 4,211,0.0034300019507120098
42,carbon monoxide treatment,207,0.003364978217049223
43,altered organoleptic characteristics,199,0.003234930749723649
44,improper health certificate(s),199,0.003234930749723649
45,too high level of overall migration,197,0.0032024188828922557
46,plastic fragments,195,0.0031699070160608623
47,poor hygienic state,193,0.003137395149229469
48,spoilage,188,0.0030561154821509852
49,unauthorised substance carbendazim,179,0.0029098120814097144
50,"unauthorised colour sudan 1,unauthorised colour sudan 4",177,0.002877300214578321
51,vibrio parahaemolyticus,175,0.0028447883477469276
52,methomyl,172,0.0027960205474998373
53,high content of iodine,171,0.002779764614084141
54,formetanate,170,0.002763508680668444
55,too high content of e 210 - benzoic acid,166,0.002698484947005657
56,salmonella enterica ser. agona,165,0.0026822290135899603
57,migration of nickel,162,0.00263346121334287
58,arsenic,155,0.002519669679432993
59,salmonella enterica ser. senftenberg,149,0.002422134078938813
60,diarrhoeic shellfish poisoning (dsp) toxins,149,0.002422134078938813
61,high content of aluminium,148,0.002405878145523116
62,salmonella enterica ser. mbandaka,147,0.0023896222121074194
63,"migration of cadmium,migration of lead",135,0.0021945510111190582
64,unauthorised novel food,133,0.002162039144287665
65,"2,4-dinitrophenol (dnp)",133,0.002162039144287665
66,unauthorised placing on the market,130,0.002113271344040575
67,unsuitable organoleptic characteristics,130,0.002113271344040575
68,"3-monochlor-1,2-propanediol (3-mcpd)",130,0.002113271344040575
69,unauthorised substance fipronil,130,0.002113271344040575
70,oxamyl,122,0.001983223876715001
71,incorrect labelling,122,0.001983223876715001
72,infested with larvae of insects,122,0.001983223876715001
73,dimethoate,119,0.0019344560764679108
74,gluten undeclared,119,0.0019344560764679108
75,migration of isopropyl thioxanthone (itx),117,0.0019019442096365174
76,parasitic infestation,113,0.0018369204759737304
77,unauthorised use of colour e 127 - erythrosine,111,0.001804408609142337
78,unauthorised operator,111,0.001804408609142337
79,high count of escherichia coli,111,0.001804408609142337
80,migration of lead,107,0.00173938487547955
81,too high level of radioactivity,107,0.00173938487547955
82,salmonella enterica ser. tennessee,107,0.00173938487547955
83,fraudulent health certificate(s),107,0.00173938487547955
84,"dimethoate,unauthorised substance omethoate",104,0.0016906170752324597
85,bacillus cereus,103,0.001674361141816763
86,insufficient labelling,101,0.0016418492749853697
