,Producto,Repeticiones,%_Aparicion_dataset
0,food supplement,1324,0.02152285584238247
1,pistachios in shell,1049,0.01705247415306587
2,dried figs,1045,0.016987450419403083
3,groundnut kernels,739,0.012013134794199883
4,groundnuts,738,0.011996878860784186
5,pistachio nuts,693,0.011265361857077834
6,sesame seeds,546,0.008875739644970414
7,peanuts,437,0.007103842902659471
8,pistachios,364,0.005917159763313609
9,hazelnut kernels,347,0.005640808895246765
10,fish meal,346,0.0056245529618310685
11,dried apricots,329,0.005348202093764224
12,peppers,327,0.005315690226932831
13,groundnuts in shell,232,0.0037713765524416414
14,pistachio kernels,219,0.0035600494180375837
15,chilli powder,216,0.0035112816177904935
16,hulled sesame seeds,205,0.0033324663502178296
17,fresh peppers,198,0.0032186748163079526
18,dog chews,195,0.0031699070160608623
19,almonds,191,0.003104883282398075
20,soybean meal,190,0.0030886273489823786
21,honey,189,0.0030723714155666817
22,raisins,189,0.0030723714155666817
23,peanuts in shell,182,0.0029585798816568047
24,black pepper,180,0.0029260680148254113
25,food supplements,178,0.002893556147994018
26,betel leaves,168,0.0027309968138370506
27,eggs,159,0.00258469341309578
28,green tea,158,0.0025684374796800832
29,paan leaves,157,0.0025521815462643863
30,frozen salted chicken half breasts,156,0.00253592561284869
31,okra,155,0.002519669679432993
32,peanut kernels,150,0.0024383900123545093
33,palm oil,150,0.0024383900123545093
34,smoked salmon,149,0.002422134078938813
35,rapeseed meal,147,0.0023896222121074194
36,frozen swordfish (xiphias gladius),135,0.0021945510111190582
37,raw pistachio nuts with shell,134,0.0021782950777033618
38,pistachio nuts in shell,130,0.002113271344040575
39,hazelnuts,128,0.002080759477209181
40,blanched groundnut kernels,126,0.002048247610377788
41,sweet peppers,124,0.0020157357435463944
42,peanut butter,122,0.001983223876715001
43,basmati rice,120,0.0019507120098836074
44,pistachio nuts with shell,118,0.001918200143052214
45,live mussels,117,0.0019019442096365174
46,dnp,113,0.0018369204759737304
47,shelled almonds,112,0.0018206645425580337
48,rape seeds,110,0.0017881526757266403
49,cheese,109,0.0017718967423109434
50,brazil nuts,107,0.00173938487547955
51,shelled groundnuts,105,0.0017068730086481567
52,oranges,101,0.0016418492749853697
53,blanched peanuts,98,0.0015930814747382794
54,soy sauce,97,0.0015768255413225827
55,chilled beef,94,0.0015280577410754926
56,groundnuts for birdfeed,93,0.001511801807659796
57,frozen shrimps,92,0.001495545874244099
58,melon seeds,88,0.0014305221405813123
59,live mussels (mytilus galloprovincialis),88,0.0014305221405813123
60,rice,84,0.0013654984069185253
61,curry powder,82,0.001332986540087132
62,curry leaves,81,0.001316730606671435
