,Pais,Repeticiones,%_Aparicion_dataset
195, ,36748,0.5973730411600234
13,Germany,15225,0.24749658625398271
6,Spain,14842,0.24127056375577086
0,Italy,13786,0.22410429806879512
16,Netherlands,10982,0.17852266077118148
29,United Kingdom,10475,0.17028090252942324
7,France,9869,0.16042980687951103
20,China,6759,0.10987385395669419
9,Belgium,6672,0.10845958774952857
4,Poland,5832,0.09480460368034332
2,Turkey,5473,0.0889687235841082
42,Denmark,4246,0.06902269328304832
25,Austria,4001,0.06503998959620261
12,India,3955,0.06429221665908057
15,INFOSAN,3918,0.06369074712269979
51,Commission Services,3632,0.05904155016581052
32,Sweden,3328,0.05409974640743871
26,Greece,3274,0.05322192600299109
38,United States,3231,0.05252292086611613
19,Czech Republic,3044,0.049483061317380846
70,Iran,2834,0.04606931530008453
58,Finland,2556,0.04155016581052084
35,Brazil,2308,0.03751869432342805
44,Ireland,2231,0.036266987450419404
31,Switzerland,2139,0.0347714415761753
40,Slovakia,2086,0.03390987710514338
22,Portugal,1913,0.031097600624227843
28,Thailand,1891,0.030739970089082514
3,Bulgaria,1889,0.03070745822225112
43,Hungary,1889,0.03070745822225112
14,Norway,1860,0.030236036153195915
45,Slovenia,1755,0.02852916314454776
47,Luxembourg,1631,0.026513427401001367
5,Lithuania,1613,0.026220820599518826
24,Vietnam,1596,0.02594446973145198
30,Romania,1361,0.02212432537876325
50,Cyprus,1304,0.021197737174068535
23,Argentina,1287,0.02092138630600169
11,Latvia,1228,0.019962286234475584
41,Croatia,1019,0.016564796150594967
36,Estonia,958,0.015573184212237468
18,Egypt,930,0.015118018076597958
56,Hong Kong,923,0.015004226542688081
74,Ukraine,867,0.014093894271409065
1,Malta,817,0.013281097600624228
49,Morocco,774,0.012582092463749268
59,Russia,660,0.010728916054359841
90,Indonesia,647,0.010517588919955783
17,Nigeria,623,0.010127446517979062
71,Ghana,568,0.009233370180115743
39,Canada,472,0.007672800572208856
34,Bangladesh,466,0.007575264971714676
101,Chile,437,0.007103842902659471
10,Pakistan,407,0.0066161649001885686
62,Iceland,387,0.006291046231874634
